code,char,block,index,child,source,cell,runtime_texture,base,confidence,notes
0x0233,グ,katakana,15,2,codeJAP14x14_02_,64,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0234,ケ,katakana,16,2,codeJAP14x14_02_,65,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0235,ゲ,katakana,17,2,codeJAP14x14_02_,66,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0236,コ,katakana,18,2,codeJAP14x14_02_,67,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0237,ゴ,katakana,19,2,codeJAP14x14_02_,68,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0238,サ,katakana,20,2,codeJAP14x14_02_,69,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0239,ザ,katakana,21,2,codeJAP14x14_02_,70,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x023a,シ,katakana,22,2,codeJAP14x14_02_,71,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x023b,ジ,katakana,23,2,codeJAP14x14_02_,72,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x023c,ス,katakana,24,2,codeJAP14x14_02_,73,0x040e0400,0x01f3,seeded,matches existing seed point
0x023d,ズ,katakana,25,2,codeJAP14x14_02_,74,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x023e,セ,katakana,26,2,codeJAP14x14_02_,75,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x023f,ゼ,katakana,27,2,codeJAP14x14_02_,76,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0240,ソ,katakana,28,2,codeJAP14x14_02_,77,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0241,ゾ,katakana,29,2,codeJAP14x14_02_,78,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0242,タ,katakana,30,2,codeJAP14x14_02_,79,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0243,ダ,katakana,31,2,codeJAP14x14_02_,80,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0244,チ,katakana,32,3,codeJAP14x14_04_,0,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0245,ヂ,katakana,33,3,codeJAP14x14_04_,1,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0246,ッ,katakana,34,3,codeJAP14x14_04_,2,0x040e2500,0x0244,seeded,matches existing seed point
0x0247,ツ,katakana,35,3,codeJAP14x14_04_,3,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0248,ヅ,katakana,36,3,codeJAP14x14_04_,4,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0249,テ,katakana,37,3,codeJAP14x14_04_,5,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024a,デ,katakana,38,3,codeJAP14x14_04_,6,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024b,ト,katakana,39,3,codeJAP14x14_04_,7,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024c,ド,katakana,40,3,codeJAP14x14_04_,8,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024d,ナ,katakana,41,3,codeJAP14x14_04_,9,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024e,ニ,katakana,42,3,codeJAP14x14_04_,10,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x024f,ヌ,katakana,43,3,codeJAP14x14_04_,11,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0250,ネ,katakana,44,3,codeJAP14x14_04_,12,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0251,ノ,katakana,45,3,codeJAP14x14_04_,13,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0252,ハ,katakana,46,3,codeJAP14x14_04_,14,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0253,バ,katakana,47,3,codeJAP14x14_04_,15,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0254,パ,katakana,48,3,codeJAP14x14_04_,16,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0255,ヒ,katakana,49,3,codeJAP14x14_04_,17,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0256,ビ,katakana,50,3,codeJAP14x14_04_,18,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0257,ピ,katakana,51,3,codeJAP14x14_04_,19,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0258,フ,katakana,52,3,codeJAP14x14_04_,20,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0259,ブ,katakana,53,3,codeJAP14x14_04_,21,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025a,プ,katakana,54,3,codeJAP14x14_04_,22,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025b,ヘ,katakana,55,3,codeJAP14x14_04_,23,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025c,ベ,katakana,56,3,codeJAP14x14_04_,24,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025d,ペ,katakana,57,3,codeJAP14x14_04_,25,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025e,ホ,katakana,58,3,codeJAP14x14_04_,26,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x025f,ボ,katakana,59,3,codeJAP14x14_04_,27,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0260,ポ,katakana,60,3,codeJAP14x14_04_,28,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0261,マ,katakana,61,3,codeJAP14x14_04_,29,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0262,ミ,katakana,62,3,codeJAP14x14_04_,30,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0263,ム,katakana,63,3,codeJAP14x14_04_,31,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0264,メ,katakana,64,3,codeJAP14x14_04_,32,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0265,モ,katakana,65,3,codeJAP14x14_04_,33,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0266,ャ,katakana,66,3,codeJAP14x14_04_,34,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0267,ヤ,katakana,67,3,codeJAP14x14_04_,35,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0268,ュ,katakana,68,3,codeJAP14x14_04_,36,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0269,ユ,katakana,69,3,codeJAP14x14_04_,37,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x026a,ョ,katakana,70,3,codeJAP14x14_04_,38,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x026b,ヨ,katakana,71,3,codeJAP14x14_04_,39,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x026c,ラ,katakana,72,3,codeJAP14x14_04_,40,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x026d,リ,katakana,73,3,codeJAP14x14_04_,41,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x026e,ル,katakana,74,3,codeJAP14x14_04_,42,0x040e2500,0x0244,seeded,matches existing seed point
0x026f,レ,katakana,75,3,codeJAP14x14_04_,43,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0270,ロ,katakana,76,3,codeJAP14x14_04_,44,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0271,ヮ,katakana,77,3,codeJAP14x14_04_,45,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0272,ワ,katakana,78,3,codeJAP14x14_04_,46,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0273,ヰ,katakana,79,3,codeJAP14x14_04_,47,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0274,ヱ,katakana,80,3,codeJAP14x14_04_,48,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0275,ヲ,katakana,81,3,codeJAP14x14_04_,49,0x040e2500,0x0244,seeded,matches existing seed point
0x0276,ン,katakana,82,3,codeJAP14x14_04_,50,0x040e2500,0x0244,seeded,matches existing seed point
0x0277,ヴ,katakana,83,3,codeJAP14x14_04_,51,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0278,ヵ,katakana,84,3,codeJAP14x14_04_,52,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0279,ヶ,katakana,85,3,codeJAP14x14_04_,53,0x040e2500,0x0244,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
